DTC 	DTC Text
P159600 	Databus drivetrain Implausible message from level control system control module
P159700 	Databus drivetrain missing message from level controls system control module
P159800 	Engine Oil Temperature Sensor Circuit,Camshaft Control -G277 Implausible signal
P159900 	Idle regulation lean operation RPM above specified value
P159B00 	Oil Level Thermal Sensor Short circuit to B+
P159C00 	Oil Level Thermal Sensor Short-circuit to ground
P159D00 	Oil Level Thermal Sensor Implausible signal
P159E00 	Oil Level Thermal Sensor No signal
P159F00 	Function restriction by Transmission Control Module
P15A000 	Neutral gear sensor Electrical malfunction
P15A100 	Neutral gear sensor Implausible signal
P15A200 	Neutral gear sensor Short-circuit to ground
P15A300 	Neutral gear sensor Short circuit to B+
P15A400 	vehicle shutdown activated
P160000 	Voltage supply terminal 15 Low Voltage
P160100 	Relay for Power Supply (B+) Terminal 30 -J317 Implausible signal
P160200 	Power Supply (B+) Terminal 30 Low Voltage
P160300 	Control module defective
P160400 	Control module defective
P160500 	Uneven road surface /acceleration sensor electrical malfunction in circuit
P160600 	Rough Road Spec Engine Torque ABS-ECU electrical malfunction in circuit
P160700 	Speed signal Malfunction message from instrument cluster
P160800 	Steering angle signal Malfunction indication from steering angle sensor
P160900 	Crash shut-off was triggered
P160A00 	Control module defective
P160B00 	See literature
P160C00 	Coolant pump 2 Open circuit
P160D00 	Coolant pump 2 Implausible signal
P160E00 	Coolant pump 2 Short-circuit to ground
P160F00 	Coolant pump 2 Short circuit to B+
P161000 	Control module defective
P161100 	Requirement - malfunction lamp on Short-circuit to ground
P161200 	Engine Control Module (ECM) incorrect coding
P161300 	Requirement - malfunction lamp on Open circuit/short circuit to B+
P161400 	Requirement - malfunction lamp on Implausible signal
P161500 	Engine Oil Temperature Sensor Circuit Implausible signal
P161600 	Glow Plug Indicator Light -K29- Short circuit to B+
P161700 	Glow Plug Indicator Light -K29- Open circuit/short circuit to ground
P161800 	Glow plug relay -J52 Short circuit to B+
P161900 	Glow plug relay -J52 Open circuit/short circuit to ground
P161A00 	Glow plug cylinder 1 -Q10 Open circuit
P161B00 	Glow plug cylinder 2 -Q11 Open circuit
P161C00 	Glow plug cylinder 3 -Q12 Open circuit
P161D00 	Glow plug cylinder 4 -Q13 Open circuit
P161E00 	Glow plug cylinder 5 -Q14 Open circuit
P161F00 	Glow plug cylinder 6 -Q15 Open circuit
P162000 	Signal for coolant temperature Open/Short to B+
P162100 	Signal for coolant temperature Short-circuit to ground
P162200 	Signal for coolant temperature Implausible signal
P162300 	Databus drivetrain No communication
P162400 	Requirement - malfunction lamp on active
P162500 	Databus drivetrain Implausible Message from Transm.Contr.
P162600 	Databus drivetrain Missing Message from Transm.Contr.
P162700 	Databus drivetrain missing message from fuel injection pump
P162800 	Databus drivetrain missing message from steering sensor
P162900 	Databus drivetrain Missing message from ADR control module
P162A00 	Glow plug cylinder 7 -Q16 Open circuit
P162B00 	Glow plug cylinder 8 -Q17 Open circuit
P162C00 	Glow/Time Control Module - voltage supply Load circuit open circuit
P162D00 	Diesel Particle Filter Indicator Lamp -K231 Malfunction
P162E00 	Glow plug cylinder 9 -Q18 Open circuit
P162F00 	Glow plug cylinder 10 -Q19 Open circuit
P163000 	Accelerator position sender-G79 Signal too low
P163100 	Accelerator position sender-G79 Signal too high
P163200 	Accelerator position sender-G79 Supply voltage
P163300 	Accelerator pedal position sender 2 -G185 Signal too low
P163400 	Accelerator pedal position sender 2 -G185 Signal too high
P163500 	Databus drivetrain missing message f.air condition control
P163600 	Databus drivetrain missing message from Airbag control
P163700 	Databus drivetrain Missing message f.central electr. control
P163800 	Databus drivetrain missing message from clutch control module
P163900 	Throttle/Pedal Position Sensor/Switch -C- Circuit Implausible signal
P163A00 	Glow/Time Control Module 2 - voltage supply Load circuit open circuit
P163B00 	Wakeup request constantly detected
P163C00 	Wakeup request not detected
P163D00 	Indicator lamp for driving program Electrical malfunction in circuit
P163E00 	Control module defective
P163F00 	Glow timing control module 2
P164000 	Control module defective
P164100 	Read DTC memory of Air Condition ECU
P164200 	Read DTC memory of Airbag ECU
P164300 	Read DTC memory of read out select central control
P164400 	Read DTC memory of clutch ECU
P164500 	Databus drivetrain missing message f.all wheel drive contr
P164600 	Read DTC memory of four wheel drive electronics
P164700 	Checking coding/versions of control modules in CAN-bus
P164800 	Databus drivetrain Defective
P164900 	Databus drivetrain missing message from break ECU
P164A00 	Oil pressure switch Implausible signal
P164B00 	Oil pressure switch Malfunction
P164C00 	Oil pressure switch for reduced oil pressure Implausible signal
P164D00 	Oil pressure switch for reduced oil pressure Malfunction
P164E00 	Oil pressure regulation valve Electrical malfunction
P164F00 	Torque withdrawal
P165000 	Databus drivetrain missing message from instrument panel ECU
P165100 	Databus drivetrain missing messages
P165200 	Read DTC memory of transmission ECU
P165300 	Read DTC memory of break ECU
P165400 	Read DTC memory of instrument cluster
P165500 	Read DTC memory of distance control ECU
P165600 	AC Clutch Relay Control Circuit Short-circuit to ground
P165700 	AC Clutch Relay Control Circuit Short circuit to B+
P165800 	Databus drivetrain range/performance from distance control
P165900 	Fan 1 control circuit Short circuit to B+
P165A00 	Temperature sensor - fresh air intake duct Short circuit to B+
P165B00 	Temperature sensor - fresh air intake duct Short-circuit to ground
P165C00 	Temperature sensor - fresh air intake duct Electrical malfunction
P165D00 	Refrigerant pressure too high
P165E00 	Refrigerant pressure too low
P165F00 	Oil pressure regulation valve Short-circuit to ground
P166000 	Fan 1 control circuit Short-circuit to ground
P166100 	Fan 2 control circuit Short circuit to B+
P166200 	Fan 2 control circuit Short-circuit to ground
P166300 	Activation of unit injectors Short circuit to B+
P166400 	Activation of unit injectors Electrical malfunction in circuit
P166500 	Activation of unit injectors Mechanical malfunction
P166600 	Unit injector solenoid valve - cylinder 1-N240 Electrical malfunction in circuit
P166700 	Unit injector solenoid valve - cylinder 2-N241 Electrical malfunction in circuit
P166800 	Unit injector solenoid valve - cylinder 3-N242 Electrical malfunction in circuit
P166900 	Unit injector solenoid valve - cylinder 4-N243 Electrical malfunction in circuit
P166A00 	Oil temperature sensor 2 Electrical malfunction
P166B00 	Oil temperature sensor 2 Short-circuit to ground
P166C00 	Oil temperature sensor 2 Implausible signal
P166D00 	Engine control module incorrect installation
P167000 	Unit injector solenoid valve - cylinder 5-N244 Electrical malfunction in circuit
P167100 	Unit injector solenoid valve - cylinder 6-N245 Electrical malfunction in circuit
P167200 	Fan 1 control circuit Open circuit/short circuit to ground
P167300 	Speed signal Malfunction message from ABS control module
P167400 	Databus drivetrain implausible message from instrument panel ECU
P167500 	Databus drivetrain fuel pump control module
P167600 	Drive by Wire-MIL Circ. -K132 electrical malfunction in circuit
P167700 	Drive by Wire-MIL Circ. -K132 Short circuit to B+
P167800 	Drive by Wire-MIL Circ. -K132 Short-circuit to ground
P167900 	Drive by Wire-MIL Circ. -K132 Open circuit
P167A00 	Indicator light start/stop Electrical malfunction
P167B00 	Driver's belt buckle Malfunction
P167C00 	Driving program switch Electrical malfunction
P167D00 	Switch for start/stop Electrical malfunction
P167F00 	Injection system initialization error or impermissible operating condition
P168000 	Reset-resistant emergency running
P168100 	Control unit programming programming not finished
P168200 	Databus drivetrain Implausible message from ABS control module
P168300 	Databus drivetrain Implausible message from airbag control module
P168400 	Control unit programming Malfunction in data transfer
P168500 	Databus drivetrain implausible message from steering angle sensor
P168600 	Control module defective Programming error
P168700 	Databus drivetrain Implausible message from climate control module
P168800 	Databus drivetrain implausible message from all wheel drive electronic
P168900 	Databus drivetrain implausible message f.central electr. control
P169000 	Malfunction Indicator Lamp (MIL) -K83- electrical malfunction in circuit
P169100 	Malfunction Indicator Lamp (MIL) -K83- Open circuit
P169200 	Malfunction Indicator Lamp (MIL) -K83- Short-circuit to ground
P169300 	Malfunction Indicator Lamp (MIL) -K83- Short circuit to B+
P169400 	Malfunction Indicator Lamp (MIL) -K83- Open circuit/short circuit to ground
P169500 	Databus drivetrain implausible message from clutch control ECU
P169600 	Databus drivetrain implausible signal from Steering Column Electronic
P169700 	Steering angle sensors please read DTC
P169800 	Steering Column Electronic Systems please read DTC
P169900 	Databus drivetrain missing message from Steering Column Electronic
P169A00 	Loading mode active
P169B00 	Glow plug cylinder 1 Implausible signal
P169C00 	Glow plug cylinder 2 Implausible signal
P169D00 	Glow plug cylinder 3 Implausible signal
P169E00 	Glow plug cylinder 4 Implausible signal
P169F00 	Glow plug cylinder 5 Implausible signal
P16A000 	Glow plug cylinder 6 Implausible signal
P16A100 	Glow plug cylinder 7 Implausible signal
P16A200 	Glow plug cylinder 8 Implausible signal
P16A300 	Glow plug cylinder 9 Implausible signal
P16A400 	Glow plug cylinder 10 Implausible signal
P16A500 	Glow plug cylinder 11 Implausible signal
P16A600 	Glow plug cylinder 12 Implausible signal
P16A700 	Glow plug cylinder 1 Incorrect installation
P16A800 	Glow plug cylinder 2 Incorrect installation
P16A900 	Glow plug cylinder 3 Incorrect installation
P16AA00 	Glow plug cylinder 4 Incorrect installation
P16AB00 	Glow plug cylinder 5 Incorrect installation
P16AC00 	Glow plug cylinder 6 Incorrect installation
P16AD00 	Glow plug cylinder 7 Incorrect installation
P16AE00 	Glow plug cylinder 8 Incorrect installation
P16AF00 	Glow plug cylinder 9 Incorrect installation
P16B000 	Glow plug cylinder 10 Incorrect installation
P16B100 	Glow plug cylinder 11 Incorrect installation
P16B200 	Glow plug cylinder 12 Incorrect installation
P170000 	Brake Pressure Switch -F270- Implausible signal
P170100 	Transmission control unit locked
P170200 	Malfunction cannot activate contr. mod. replacem. func., since another malfunction with equal priority is present
P170300 	Emergency running, control unit reset
P170400 	Kick Down Switch -F8- electrical malfunction in circuit
P170500 	Gear Ratio adaptation limit reached
P170600 	Gearbox faulty
P170700 	Interference in Mechatronic unit
P170800 	Engine Control Modules (ECM) exchanged
P170900 	Gear position switch 1-3 High Voltage
P170A00 	Hill holder Incline limit exceeded
P170B00 	Hill holder Malfunction
P170C00 	Gear position switch 5-7 High Voltage
P170D00 	Gear position switch 5-7 Low Voltage
P170E00 	Gear position switch 5-7 Signal error
P170F00 	Gear position switch 6-4 High Voltage
P171000 	Gear position switch 6-4 Low Voltage
P171100 	Wheel speed signal 1=>Left Front ABS Wheel Speed Sensor -G47 Implausible signal
P171200 	Gear position switch R-2 High Voltage
P171300 	Gear position switch R-2 Low Voltage
P171400 	Gear position switch R-2 Signal error
P171500 	Gear position switch 6-4 Signal error
P171600 	Wheel speed signal 2=>Right Front ABS Wheel Speed Sensor -G45 Implausible signal
P171700 	Gear position switch 1-3 Low Voltage
P171800 	Gear position switch 1-3 Signal error
P171900 	Function restriction by Engine Control Module
P171A00 	Ignition key removal lock Open circuit
P171B00 	Ignition key removal lock Short circuit to B+
P171C00 	Ignition key removal lock Short-circuit to ground
P171D00 	Ignition key removal lock Electrical malfunction
P171E00 	Transmission Input Speed (RPM) Sensor 2 No signal
P171F00 	Transmission Input Speed (RPM) Sensor 2 Implausible signal
P172000 	Transmission output speed 1 Implausible signal
P172100 	Wheel speed signal 3=>Left Rear ABS Wheel Speed Sensor -G46 Implausible signal
P172200 	Transmission output speed 2 Implausible signal
P172300 	Signal for starter lock Open circuit
P172400 	Signal for starter lock Short-circuit to ground
P172500 	Compare transmission output speeds 1 + 2 Implausible signal
P172600 	Wheel speed signal 4=>Right Rear ABS Wheel Speed Sensor -G44 Implausible signal
P172700 	Transmission Driving direction implausible
P172800 	Differing wheel speeds Implausible signal
P172900 	Signal for starter lock Short circuit to B+
P172A00 	Clutch adjuster valve Open circuit
P172B00 	Clutch adjuster valve Short-circuit to ground
P172C00 	Clutch adjuster valve Short circuit to B+
P172D00 	Clutch adjuster valve Electrical malfunction
P172E00 	Switch actuator Mechanical malfunction
P172F00 	Gear Position Distance Sensor 1 for gear selector Electrical malfunction
P173000 	Gear Position Distance Sensor 2 for gear selector Electrical malfunction
P173100 	Gear Position Distance Sensor 3 for gear selector Electrical malfunction
P173200 	Gear Position Distance Sensor 4 for gear selector Electrical malfunction
P173300 	Tiptronic Switch -F189-, down Short-circuit to ground
P173400 	Starter release from the selector lever sensor system
P173500 	Position sensor for clutch 1 Electrical malfunction
P173600 	Position sensor for clutch 2 Electrical malfunction
P173700 	Transmission hydraulic pressure sensor 1 Open circuit/short circuit to B+
P173800 	Transmission hydraulic pressure sensor 2 Open circuit/short circuit to B+
P173900 	Tiptronic Switch -F189-, up Short-circuit to ground
P173A00 	Gear Position Distance Sensor 1 for gear selector Implausible signal
P173B00 	Gear Position Distance Sensor 2 for gear selector Implausible signal
P173C00 	Gear Position Distance Sensor 3 for gear selector Implausible signal
P173D00 	Gear Position Distance Sensor 4 for gear selector Implausible signal
P173E00 	Valve 1 in partial transmission 1 Electrical malfunction
P173F00 	Valve 2 in partial transmission 1 Electrical malfunction
P174000 	Clutch temperature monitoring
P174100 	Clutch pressure adaptation at limit
P174200 	Clutch torque adaptation, adaptation limit reached
P174300 	Clutch slip monitoring Signal too high
P174400 	Tiptronic Switch -F189-, recognition Short-circuit to ground
P174500 	Transm.Contr.Unit Relay Short circuit to B+
P174600 	Transm.Contr.Unit Relay electrical malfunction in circuit
P174700 	Transm.Contr.Unit Relay Open circuit/short circuit to ground
P174800 	Control module defective
P174900 	Automatic gearbox control unit incorrect code
P174A00 	Valve 3 in separate transmission 1 Electrical malfunction
P174B00 	Valve 4 in partial transmission 1 Electrical malfunction
P174C00 	Valve 1 in partial transmission 2 Electrical malfunction
P174D00 	Valve 2 in partial transmission 2 Electrical malfunction
P174E00 	Valve 3 in separate transmission 2 Electrical malfunction
P174F00 	Valve 4 in partial transmission 2 Electrical malfunction
P175000 	Voltage supply Low Voltage
P175100 	Voltage supply High Voltage
P175200 	Voltage supply Implausible signal
P175300 	Tiptronic Switch -F189- Implausible signal
P175400 	Tiptronic Switch, up F189 Open circuit/short circuit to B+
P175500 	Tiptronic Switch, return F189 Open circuit/short circuit to B+
P175600 	Tiptronic Switch -F189-, recognition Open circuit/short circuit to B+
P175700 	Voltage supply Open circuit
P175800 	Voltage supply terminal 15 Open circuit
P175900 	Transmission fluid temperature Exceeded multiple times
P175A00 	Actuator gear control unit separate transmission 1 Tolerance limit reached
P175B00 	Actuator gear control unit separate transmission 2 Tolerance limit reached
P175C00 	Actuator double clutch Tolerance limits reached
P175D00 	Clutch 1 opens unintentionally
P175E00 	Clutch 1 closes unintentionally
P175F00 	Transmission system Basic settings not carried out
P176000 	Shift lock solenoid =>solenoid -N110 electrical malfunction in circuit
P176100 	Shift lock solenoid =>solenoid -N110 Short-circuit to ground
P176200 	Shift lock solenoid =>solenoid -N110 Short circuit to B+
P176300 	Shift lock solenoid =>solenoid -N110 Open circuit
P176400 	Transmission temperature monitoring
P176500 	Hydraulic pressure sender 2 -G194 adaptation limit reached
P176600 	Throttle Angel Signal Open circuit/short circuit to B+
P176700 	Throttle Angel Signal Short-circuit to ground
P176800 	Hydraulic pressure sender 2 -G194 Signal too high
P176900 	Hydraulic pressure sender 2 -G194 Signal too low
P176A00 	Gear selector 1 cannot be regulated
P176B00 	Gear selector 2 cannot be regulated
P176C00 	Gear selector 3 cannot be regulated
P176D00 	Gear selector 4 cannot be regulated
P176E00 	Clutch 2 opens unintentionally
P176F00 	Clutch 2 closes unintentionally
P177000 	Load Signal Implausible signal
P177100 	Load Signal Open circuit/short circuit to B+
P177200 	Load Signal Short-circuit to ground
P177300 	Hydraulic pressure sender 1 -G193 Signal too high
P177400 	Hydraulic pressure sender 1 -G193 Signal too low
P177500 	Hydraulic pressure sender 1 -G193 adaptation limit reached
P177600 	Hydraulic pressure sender 1 -G193 Implausible signal
P177700 	Hydraulic pressure sender 2 -G194 Implausible signal
P177800 	Valve 7 electrical malfunction in circuit
P177900 	Transmission input shaft 1 Overspeed
P177A00 	Transmission input shaft 2 Overspeed
P177B00 	Coupling 1 Tolerance limit reached
P177C00 	Coupling 2 Tolerance limit reached
P177D00 	Double clutch Torque too high
P177E00 	Function restriction due to pressure drop
P177F00 	Hydraulic pump motor Insuff. voltage
P178000 	Torque withdrawal faulty
P178100 	Torque reduction signal Open circuit/short circuit to ground
P178200 	Torque reduction signal Short circuit to B+
P178300 	Clutch torque adaptation 2 adaptation limit reached
P178400 	Up/down shift wire Open circuit/short circuit to ground
P178500 	Up/down shift wire Short circuit to B+
P178600 	Reversing light signal Open circuit
P178700 	Reversing light signal Short-circuit to ground
P178800 	Reversing light signal Short circuit to B+
P178900 	Idling speed adjustment Error Message from Engine Contr.
P178A00 	Hydraulic pump Electrical malfunction
P178B00 	Hydraulic pump Implausible behavior
P178C00 	Clutch 1 to clutch 2 Implausible
P178D00 	Synchronizer ring Wear
P178E00 	Function limitation due to excessive temperature
P178F00 	Pressure control valve soiled
P179000 	Signal for selector range display Open circuit
P179100 	Signal for selector range display Short-circuit to ground
P179200 	Signal for selector range display Short circuit to B+
P179300 	Output Speed Sensor 2 Circ. No signal
P179500 	Signal for driving speed Open circuit
P179600 	Signal for driving speed Short-circuit to ground
P179700 	Signal for driving speed Short circuit to B+
P179800 	Output Speed Sensor 2 Circ. Implausible signal
P179900 	Output Speed Sensor 2 Circ. Rpm too High
P179A00 	Solenoid valve Electrical malfunction
P179B00 	Separate transmission valve Electrical malfunction
P179C00 	Main pressure valve Electrical malfunction
P179D00 	Cooling oil valve Electrical malfunction
P179E00 	Sensor for transmission range Electrical malfunction
P179F00 	Sensor for transmission range Malfunction
P17A000 	Accumulator 1 temperature monitoring
P17A100 	Accumulator 2 temperature monitoring
P17A200 	Differential fluid pressure monitoring
P17A300 	Differential fluid temperature monitoring
P17A400 	Transverse acceleration monitoring
P17A500 	Longitudinal acceleration monitoring
P17A600 	Selector lever position P position1
P17A700 	Selector lever position P position2
P17A800 	Shift Lever Forward Valve 1 Open circuit
P17A900 	Shift Lever Forward Valve 1 Short-circuit to ground
P17AA00 	Shift Lever Forward Valve 1 Short circuit to B+
P17AB00 	Shift Lever Forward Valve 1 Electrical malfunction
P17AC00 	Shift Lever Forward Valve 2 Open circuit
P17AD00 	Shift Lever Forward Valve 2 Short-circuit to ground
P17AE00 	Shift Lever Forward Valve 2 Short circuit to B+
P17AF00 	Shift Lever Forward Valve 2 Electrical malfunction
P17B000 	Shift Lever Forward Valve 3 Open circuit
P17B100 	Shift Lever Forward Valve 3 Short-circuit to ground
P17B200 	Shift Lever Forward Valve 3 Short circuit to B+
P17B300 	Shift Lever Forward Valve 3 Electrical malfunction
P17B400 	Shift Lever Forward Valve 4 Open circuit
P17B500 	Shift Lever Forward Valve 4 Short-circuit to ground
P17B600 	Shift Lever Forward Valve 4 Short circuit to B+
P17B700 	Shift Lever Forward Valve 4 Electrical malfunction
P17B800 	Gear Recognition Potentiometer 1 Implausible signal
P17B900 	Gear Recognition Potentiometer 1 Signal too low
P17BA00 	Gear Recognition Potentiometer 1 Signal too high
P17BB00 	Gear Recognition Potentiometer 2 Implausible signal
P17BC00 	Gear Recognition Potentiometer 2 Signal too low
P17BD00 	Gear Recognition Potentiometer 2 Signal too high
P17BE00 	Hydraulic pump Excess temperature
P17BF00 	Hydraulic pump Play protection
P17C000 	Sport program button Open circuit
P17C100 	Selector lever position display unit Electrical malfunction
P17C200 	Selector lever position display unit Supply voltage
P17C300 	Selector lever Defective
P17C400 	Selector lever position display unit Defective
P17C500 	Selector lever Implausible signal
P17C600 	Clutch valve Electrical malfunction
P17C700 	Transmission Input Speed (RPM) Sensor 3 electrical malfunction in circuit
P17C800 	Transmission Input Speed (RPM) Sensor 3 Implausible signal
P17C900 	Transmission Input Speed (RPM) Sensor 3 No signal
P17CA00 	Basic calibration Data implausible
P17CB00 	Clutch valve Defective
P17CC00 	Clutch valve 2 Defective
P17CD00 	Coupling 1 Drag torque too high
P17CE00 	Coupling 2 Drag torque too high
P17CF00 	Coupling 1 Slip too great
P17D000 	Coupling 2 Slip too great
P17D100 	Coupling 1 Pressure upper limit exceeded
P17D200 	Coupling 2 Pressure upper limit exceeded
P17D300 	Electrohydraulic control unit Characteristic curve deviation
P17D400 	Valve 3 in separate transmission 1 Mechanical malfunction
P17D500 	Valve 3 in separate transmission 2 Mechanical malfunction
P17D600 	Coupling 1 Pressure too high
P17D700 	Coupling 2 Pressure too high
P17D800 	Torque limitation due to clutch temperature
P17D900 	Gear selector sensor Characteristic curve deviation
P17DA00 	Gear position sensor 1 Implausible
P17DB00 	Gear position sensor 2 Implausible
P17DC00 	Gear position sensor 3 Implausible
P17DD00 	Gear position sensor 4 Implausible
P17DE00 	Gear Position Distance Sensors 1 and 3 Electrical malfunction
P17DF00 	Gear Position Distance Sensors 2 and 4 Electrical malfunction
P17E000 	Gear selector 1 Mechanical malfunction
P17E100 	Gear selector 2 Mechanical malfunction
P17E200 	Gear selector 3 Mechanical malfunction
P17E300 	Gear selector 4 Mechanical malfunction
P17E400 	Selector lever position display unit Short circuit to B+
P17E500 	Selector lever position sensor Mechanical malfunction
P17E600 	Selector lever position sensor Implausible signal
P17E700 	Selector lever position sensor Defective
P17E800 	Locking solenoid Electrical malfunction
P17E900 	Locking solenoid Short circuit to B+
P17EA00 	Locking solenoid Defective
P17EB00 	Unlock button Short-circuit to ground
P17EC00 	Unlock button Electrical malfunction
P17ED00 	Unlock button sticks
P17EE00 	Unlock button Implausible signal
P17EF00 	Solenoid for pressure accumulator Short circuit to B+
P17F000 	Solenoid for pressure accumulator Short-circuit to ground
P17F100 	Solenoid for pressure accumulator Open circuit
P17F200 	Solenoid for pressure accumulator Electrical malfunction
P17F300 	Solenoid for parking lock Short circuit to B+
P17F400 	Solenoid for parking lock Short-circuit to ground
P17F500 	Solenoid for parking lock Open circuit
P17F600 	Solenoid for parking lock Electrical malfunction
P17F700 	Sensor for parking lock Implausible signal
P17F800 	Sensor for parking lock Electrical malfunction
P17F900 	Parking lock Mechanical malfunction
P17FA00 	Pressure control valve 8 electrical malfunction in circuit
P17FB00 	Pressure control valve 8 Open circuit
P17FC00 	Pressure control valve 8 Open circuit/short circuit to ground
P17FD00 	Pressure control valve 8 Short circuit to B+
P180000 	Hydraulic Actuator Valve -N331- Electrical malfunction in circuit
P180100 	Signal buzzer activation Short circuit to B+
P180200 	Clutch pedal switch -F194 Implausible signal
P180300 	Planetary post-switch stage Mechanical malfunction
P180400 	Hydraulic Actuator Range Sender -G302- Electrical malfunction in circuit
P180500 	Hydraulic Actuator Range Sender -G302- Upper limit exceeded
P180600 	Hydraulic Actuator Range Sender -G302- Lower limit not reached
P180700 	Hydraulic Actuator Range Sender -G302- no or incorrect basic setting/adaptation
P180800 	Hydraulic Actuator Range Sender -G302- Implausible signal
P180900 	4-Low Range Hydraulic Pump -V190- Electrical malfunction in circuit
P180A00 	Gear selector 1 Leaving Neutral not allowed
P180B00 	Gear selector 2 Leaving Neutral not allowed
P180C00 	Gear selector 3 Leaving Neutral not allowed
P180D00 	Gear selector 4 Leaving Neutral not allowed
P180E00 	Position sensor for clutch 1 Implausible signal
P180F00 	Position sensor for clutch 2 Implausible signal
P181300 	Pressure control valve 1 -N215 electrical malfunction in circuit
P181400 	Pressure control valve 1 -N215 Open circuit/short circuit to ground
P181500 	Pressure control valve 1 -N215 Short circuit to B+
P181800 	Pressure control valve 2 -N216 electrical malfunction in circuit
P181900 	Pressure control valve 2 -N216 Open circuit/short circuit to ground
P182000 	Pressure control valve 2 -N216 Short circuit to B+
P182300 	Pressure control valve 3 -N217 electrical malfunction in circuit
P182400 	Pressure control valve 3 -N217 Open circuit/short circuit to ground
P182500 	Pressure control valve 3 -N217 Short circuit to B+
P182800 	Pressure control valve 4 -N218 electrical malfunction in circuit
P182900 	Pressure control valve 4 -N218 Open circuit/short circuit to ground
P183000 	Pressure control valve 4 -N218 Short circuit to B+
P183300 	Pressure regulating valve -5- for automatic transmission electrical malfunction in circuit
P183400 	Pressure regulating valve -5- for automatic transmission Open circuit/short circuit to ground
P183500 	Pressure regulating valve -5- for automatic transmission Short circuit to B+
P183800 	Pressure Regulating Valve 6-N371 Electrical malfunction in circuit
P183900 	Pressure Regulating Valve 6-N371 Open circuit/short circuit to ground
P184000 	Pressure Regulating Valve 6-N371 Short circuit to B+
P184100 	Engine control module/Transmission Control Module (TCM) Versions not compatible
P184200 	Read DTC memory of instrument cluster
P184300 	Read DTC memory of distance control ECU
P184400 	Read DTC memory of read out select central control
P184500 	Read DTC memory of Steering Column Electronic Systems Control Module -J527-
P184700 	Read DTC memory of break ECU
P184800 	Read DTC memory of engine ECU
P184900 	Read DTC memory of transmission ECU
P184A00 	Main pressure adaptation Offset upper limit exceeded
P184B00 	Main pressure adaptation Malfunction
P185000 	Databus drivetrain Missing Message from Engine Contr
P185100 	Databus drivetrain missing message from break ECU
P185200 	Databus drivetrain Implausible Message from Engine Contr.
P185300 	Databus drivetrain Implausible message from ABS control module
P185400 	Databus drivetrain Defective
P185500 	Databus drivetrain Software version monitoring
P185600 	Throttle valve potentiometer -G69- Error Message from Engine Contr.
P185700 	Load Signal Error Message from Engine Contr.
P185800 	Engine Speed Input Circ. Error Message from Engine Contr.
P185900 	Brake Light Switch -F Error Message from Engine Contr.
P186000 	Kick Down Switch -F8- Error Message from Engine Contr.
P186100 	Accelerator position sender-G79 Malfunction indication from Engine Control Module (ECM)
P186200 	Databus drivetrain missing message from instrument panel ECU
P186300 	Databus drivetrain missing message from steering angle sensor
P186400 	Databus drivetrain Missing message from ADR control module
P186500 	Databus drivetrain missing message f.central electr. control
P186600 	Databus drivetrain missing messages
P186700 	Databus drivetrain missing message from -J527-
P186800 	Transmission Mount Valve -1- -N262- Short circuit to B+
P186900 	Transmission Mount Valve -1- -N262- Short-circuit to ground
P187000 	Transmission Mount Valve -1- -N262- Open circuit
P187100 	Transmission Mount Valve -2- -N263- Short circuit to B+
P187200 	Transmission Mount Valve -2- -N263- Short-circuit to ground
P187300 	Transmission Mount Valve -2- -N263- Open circuit
P187400 	Valve for torque support mount Short circuit to B+
P187500 	Valve for torque support mount Short-circuit to ground
P187600 	Valve for torque support mount Open circuit
P187700 	Control Coolant System Gearbox intermittent Open circuit
P187800 	Control Coolant System Gearbox intermittent Short circuit to B+
P187900 	Control Coolant System Gearbox intermittent Short-circuit to ground
P188000 	Databus missing message from Diagnostic Interface ECU
P188100 	Data Bus missing message
P188200 	Databus drivetrain missing message from electrical brake system ECU
P188300 	Park/Neutral Switch Input Circuit Implausible signal
P188400 	Reversing light signal Short-circuit to ground
P188500 	Reversing light signal Short circuit to B+
P188600 	Reversing light signal Open circuit
P188700 	Vehicle Speed Signal wheel speed from brake control module Implausible signal
P188800 	valve for coolant system circuit Short circuit to B+
P188900 	valve for coolant system circuit Short circuit to ground/open circuit
P188A00 	Coolant shut-off valve Electrical malfunction
P189000 	Signal wire for Tiptronic Electrical malfunction
P189100 	Signal wire for Tiptronic Implausible signal
P189200 	Selector lever position detection Defective
P189300 	Signal wire for gear display in selector lever Electrical malfunction
P189400 	Signal wire for gear display in selector lever Implausible signal
P189500 	Function restriction due to pressure drop
P189600 	Coupling 1 Temperature shock
P189700 	Coupling 2 Temperature shock
P189800 	Coupling 1 Function restriction
P189900 	Coupling 2 Function restriction
P189A00 	Coupling 1 Clearance too small
P189B00 	Coupling 2 Clearance too small
P189C00 	Function restriction due to insufficient pressure build-up
P190000 	Fan 2 control circuit Open circuit/short circuit to ground
P190100 	After-Run Coolant Fan Control (FC) Control Module -J138- Short circuit to B+
P190200 	After-Run Coolant Fan Control (FC) Control Module -J138- Open circuit/short circuit to ground
P190300 	Coolant Fan Valve -N313- Short circuit to B+
P190400 	Coolant Fan Valve -N313- Open circuit/short circuit to ground
P190500 	Charge Air Cooling Pump Relay -J536- Short circuit to B+
P190600 	Charge Air Cooling Pump Relay -J536- Open circuit/short circuit to ground
P190700 	Engine databus/engine Defective
P190800 	Engine databus/engine Software version monitoring
